Tôn Thất Yến Anh,Nữ,Việt Nam,Đà Nẵng,Liên Chiểu,Hòa Hiệp Bắc,Nguyễn Thúy
Lại Nguyệt Thương,Nữ,Việt Nam,Hưng Yên,Khoái Châu,Tân Châu,205D
Tôn Nữ Khánh Vương,Nam,Việt Nam,Đắk Nông,Krông Nô,Nâm N'Đir,Tỉnh lộ 4
Ôn Nhật Di,Nữ,Việt Nam,Bình Thuận,Tuy Phong,Liên Hương,Nguyễn Thị Minh Khai
Lại Tuấn Tâm,Nam,Việt Nam,Hưng Yên,Ân Thi,Hạ Lễ,Tỉnh lộ 210
Lương Như Ân,Nam,Việt Nam,Quảng Nam,Phú Ninh,Tam Thành,Quốc lộ 1A
Đỗ Mỹ Lâm,Nữ,Việt Nam,Hà Tĩnh,Hương Khê,Phương Mỹ,Huy Cận
Tạ Quốc Thịnh,Nam,Việt Nam,Cần Thơ,Bình Thủy,Trà An,F7
Cù Thiên Nghĩa,Nam,Việt Nam,Thanh Hóa,Nga Sơn,Nga Hưng,23
Đặng Phúc Dũng,Nam,Việt Nam,Lai Châu,Lai Châu,San Thàng,30/4
Thân Quế Thắm,Nữ,Việt Nam,Đà Nẵng,Hải Châu,Hải Châu I,Lê Quý Đôn
Giang Dương Duyên,Nữ,Việt Nam,Hà Giang,Quang Bình,Nà Khương,
Chế Trúc Xuân,Nữ,Việt Nam,Quảng Trị,Cam Lộ,Cam Lộ,9
Lưu Trương Hải,Nam,Việt Nam,Bạc Liêu,Hồng Dân,Vĩnh Lộc A,1
Lưu Sỹ Thanh,Nam,Việt Nam,Tuyên Quang,Tuyên Quang,Hưng Thành,Nguyễn Trãi
Liêu Xuân Kiều,Nữ,Việt Nam,Bình Phước,Đồng Phú,Tân phú,N10
Đinh Bích Tường,Nữ,Việt Nam,Điện Biên,Điện Biên Phủ,Mường Thanh,Nguyễn Hữu Thọ
Tăng Hồng Tường,Nữ,Việt Nam,Gia Lai,Đăk Đoa,Hải Yang,Sư Vạn Hạnh
Ninh Đình Khoa,Nam,Việt Nam,Sơn La,Quỳnh Nhai,Mường Chiên,Tỉnh lộ 107
Thi Phúc Khánh,Nữ,Việt Nam,Nghệ An,Vinh,Hà Huy Tập,Đức Thọ
Mạch Việt Khanh,Nam,Việt Nam,Hà Nội,Ba Đình,Điện Biên,Núi Trúc
Lục Hạnh Thủy,Nữ,Việt Nam,Đắk Lắk,Krông Buk,Cư Né,Tỉnh lộ 8
Triệu Trịnh Oanh,Nữ,Việt Nam,Khánh Hòa,Nha Trang,Ngọc Hiệp,Phạm Hồng Thái
Giang Thiên Uyên,Nữ,Việt Nam,Bến Tre,Chợ Lách,Hòa Nghĩa,Quốc Lộ 57
Tôn Diễm Trúc,Nữ,Việt Nam,Vĩnh Phúc,Lập Thạch,Thái Hòa,Tỉnh lộ 305
Ngụy Mẫn Xuân,Nữ,Việt Nam,Bình Định,Phù Cát,Cát Nhơn,Ngô Mây
Hoàng Trịnh Hằng,Nữ,Việt Nam,Tiền Giang,Gò Công Tây,Bình Phú,19
Phan Anh Ngân,Nữ,Việt Nam,Đà Nẵng,Cẩm Lệ,Hòa Thọ Tây,Hồ Trung Lượng
Lữ Nguyệt Dương,Nữ,Việt Nam,An Giang,Tịnh Biên,Văn Giáo,Nam An Hòa
Tô Bảo Thuận,Nam,Việt Nam,Kon Tum,Đăk Tô,Kon Đào,Lê Duẩn
